BASE,CODIGO,STRIKE,EXPIRE,ATIVO,TIPO,E_SERIE
ELET,ELETD490,50.00,2023-04-20,ELET,COMPRA,D
ELET,ELETP490,50.00,2023-04-20,ELET,VENDA,P
ELET,ELETF490,50.00,2023-06-16,ELET,COMPRA,F
ELET,ELETR490,50.00,2023-06-16,ELET,VENDA,R
ELET,ELETL490,50.00,2023-12-15,ELET,COMPRA,L
ELET,ELETX490,50.00,2023-12-15,ELET,VENDA,X
ELET,ELETC492,50.50,2023-03-17,ELET,COMPRA,C
ELET,ELETO492,50.50,2023-03-17,ELET,VENDA,O
ELET,ELETD495,50.50,2023-06-16,ELET,COMPRA,D
ELET,ELETP495,50.50,2023-06-16,ELET,VENDA,P
ELET,ELETF495,51.00,2023-03-17,ELET,COMPRA,F
ELET,ELETR495,51.00,2023-03-17,ELET,VENDA,R
ELET,ELETC497,51.00,2023-04-20,ELET,COMPRA,C
